Topic,Count,Name,Representation,Representative_Docs
-1,33,-1_ive_select_options_youtube,"['ive', 'select', 'options', 'youtube', 'the', 'make', 'display', 'quit', 'stops', 'data']","['the thing stops going full firefox mobile desktop firefox mobile, unusable moment.', ""i've using week working completely fine i've enjoying it, since yesterday web pages load."", ""i've using week working completely fine i've enjoying it, since yesterday web pages load.""]"
0,74,0_it_fix_before_wrong,"['it', 'fix', 'before', 'wrong', 'brilliant', 'awesome', 'get', 'please', 'know', 'thats']","[""if something's broke fix it!?"", 'please fix this, make before.', 'please fix this, make before.']"
1,44,1_android_even_pc_version,"['android', 'even', 'pc', 'version', 'samsung', 'bookmarks', 'used', 'problem', 'lg', 'someone']","['sadly recent upgrade work, even beta version android 6 mobile.', 'firefox android capable chrome android samsung internet.', 'firefox android capable chrome android samsung internet.']"
2,30,2_tabs_tab_open_new,"['tabs', 'tab', 'open', 'new', 'back', 'active', 'firefox', 'opens', 'close', 'session']","['one niggly thing, though: link launched outside firefox firefox opens link new tab taps back button, tab closes.', ""i'm sure, i used able leave firefox open background, active tabs, go back active session previous webpage data."", ""i'm sure, i used able leave firefox open background, active tabs, go back active session previous webpage data.""]"
3,26,3_love_firefox_made_companies,"['love', 'firefox', 'made', 'companies', 'actually', 'desktop', 'version', 'mozilla', 'would', 'money']","['i love firefox!', '2018.06: firefox updated since i made comments, i love desktop browser, i going try again.', '2018.06: firefox updated since i made comments, i love desktop browser, i going try again.']"
4,25,4_chrome_better_free_always,"['chrome', 'better', 'free', 'always', 'google', 'mozilla', 'app', 'would', 'it', 'others']","['not saying firefox needs copy chrome here, would helpful.', 'add-ons i are: ublock origin, adblock plus, ghostery, privacy badger google notrack.', 'add-ons i are: ublock origin, adblock plus, ghostery, privacy badger google notrack.']"
5,24,5_tabs_opera_bar_tab,"['tabs', 'opera', 'bar', 'tab', 'synced', 'view', 'platform', 'swiping', 'devices', 'see']","['chrome allows users switch tabs swiping left right bar get tab overview swiping bar.', 'i really want main able view synced tabs devices build severely hurts overall user experience.', 'i really want main able view synced tabs devices build severely hurts overall user experience.']"
6,17,6_site_load_full_press,"['site', 'load', 'full', 'press', 'page', 'it', 'loading', 'slow', 'long', 'connect']","['does load site, i tap tab, i see site small window go full screen.', 'it sits continuing load old page gets response requested site, i tell got message.', 'it sits continuing load old page gets response requested site, i tell got message.']"
7,16,7_open_downloaded_link_wants,"['open', 'downloaded', 'link', 'wants', 'select', 'no', 'know', 'downloads', 'file', 'menu']","['some brain surgeon child compiler wants ask want open link pressed!', 'no, brilliant programmer wants know whether open it, stupid know open downloaded.', 'no, brilliant programmer wants know whether open it, stupid know open downloaded.']"
8,15,8_slow_firefox_sluggish_engine,"['slow', 'firefox', 'sluggish', 'engine', 'focus', 'time', 'times', 'mobile', 'difficult', 'text']","['take firefox focus engine, port save time resources.', ""i've tried using firefox mobile multiple times slow sluggish."", ""i've tried using firefox mobile multiple times slow sluggish.""]"
